Nome;Documento;Idade;Curso;Modalidade
Johnny Cunhado;830.294.710;15;FL;B1
Joao Pedro da Silva;529.598.997-X;17;FB;A2
Lara Matsui Mangini;955.816.736;18;NH;A2
Lara Nakamura;676.512.348-X;15;EM;C1
Lavinia Coutinho;942.997.138;17;FL;C2
Ricarda de Oliveira;194.232.688;15;BE;B1
Thiago Magalhaes Goncalvez Camillo;563.587.701;16;FL;C2
Jose Levi Penna Sampaio Liberatori;627.219.503;18;EQ;C1
Luiz Augusto Saboia;717.267.712-Y;19;NN;C2
Candida Felix Bruni;967.383.934-C;19;NN;A2
Carla Maia Felix Lotufo;447.733.803-Z;18;FL;C2
Evair Melo;686.589.203;19;SL;C2
Aldo Abravanel Souza Pini Antonioni;658.490.940;17;AC;C2
Isaac Canal;671.971.392;18;EQ;C2
Jose Roberto Ferraz;687.370.723;17;EC;B2
Maria Elisa Nakamura;556.859.584;20;AC;B2
Humberto Mantovani;641.355.908;15;FL;B2
Carla Levi Correia;889.389.249;15;EA;A1
Maria Benta Carvalho;58.735.830-X;17;AR;C1
Vitorio Parente;181.569.429-Z;16;HS;C1
Maria Benta Kubota;269.235.223-B;15;MA;B1
Aloisio Guedes Goldstein do Monte;7.438.663-B;16;AR;C1
Aline Nunes;147.978.994-X;19;HS;B2
Lara Matsui Mangini;955.816.736;18;NH;A2
George Nunes;802.851.741;18;CC;B1
Marco Harrison di Giorgio Teixeira;69.533.361;20;NN;B2
Juliano Yamamoto;713.481.301-Z;17;MC;A2
Cristian Ferro;52.243.945;19;EA;B2
Isabela Romano;848.575.171;18;EE;C2
Ana Renata Delmiro Yamamoto;830.790.912-A;20;AC;C2
Samuel Abravanel Ramos dos Afonsos;243.342.753-Z;18;HL;A2
Martin Bretzel;140.537.782;15;AC;A1
Maria Cecilia Prates;90.163.387;16;MA;C1
Steve da Mata Junqueira;735.576.121;20;SL;B2
Andreia Giannini;912.160.319-C;18;MC;B1
Silverio Tagliari Boldrini;404.118.514-C;19;EM;B1
Marco Aurelio Fujimori Camara;869.803.793;16;NN;C1
Vitorio Geraldo Zeppelin Bressan;630.850.902;20;EE;C1
Valdivino Corsini Watanabe;418.737.288;15;NA;C2
Juliano Bergamo;800.850.480;16;NH;C2
Mauricio Romano;122.106.953-Y;17;NH;A1
Fabiana Berger;764.138.353-X;16;EE;B1
Francisco Rocha Harrison Fagundes;749.836.604-A;20;CC;A1
Thomaz Dias;910.436.905;16;EE;C2
Maura Soler Almeida;759.689.205;16;MC;B1
Michelle Correa Tucunduva Marchetti dos Afonsos;345.442.695;19;AR;C2
Joao Luiz Lessa Almeida Aquino Maciel;928.605.140;15;NL;A2
Alberto Rochester Palma;615.390.933;18;FL;B2
Evair Henriques Correa;683.788.835-B;16;ML;A1
